Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Rain_Likelihood_Fuzzy,Dryness_Index
2017-06-11,Melbourne,3.4,15.5,0.2,2.0,7.5,SSW,22.0,NE,WSW,11.0,6.0,96.0,67.0,1029.1,1025.5,5.0,7.0,6.1,13.6,No,No,0.9999999985714271,0.14135501054149352
2008-07-16,Canberra,-0.9,12.8,0.2,2.0,1.9,N,17.0,SE,NNW,6.0,9.0,99.0,62.0,1024.1,1020.8,7.0,7.0,2.7,12.1,No,No,0.9999999985714271,0.13439129952168688
2012-07-31,Sydney,7.5,16.1,4.4,3.0,6.3,SW,44.0,W,SSW,26.0,24.0,60.0,52.0,1025.8,1022.9,6.0,6.0,9.9,13.7,Yes,No,0.6145555366797265,0.2138497392058552
2011-02-12,Adelaide,16.4,22.0,12.2,,2.4,SE,43.0,E,SSE,9.0,20.0,63.0,53.0,1021.4,1020.1,,,17.6,20.8,Yes,No,0.37151576463873137,0.2863167240016119
2011-05-05,WaggaWagga,3.1,18.8,0.0,2.4,10.1,SSW,31.0,ENE,S,6.0,11.0,82.0,27.0,1023.7,1021.8,1.0,1.0,10.0,18.2,No,No,0.0,0.3802019753602801
2011-07-28,Albany,10.4,19.5,1.4,3.0,6.1,,,NNW,NW,15.0,15.0,68.0,59.0,993.7,995.0,7.0,7.0,17.0,17.8,Yes,Yes,0.8014184457749958,0.22125735212333875
2010-03-03,Portland,14.8,23.2,0.0,5.0,11.3,ENE,35.0,E,E,20.0,15.0,84.0,51.0,1019.3,1015.7,8.0,0.0,15.6,22.6,No,No,0.295138902617931,0.3148374209273539
2016-02-03,Albury,19.8,25.8,0.0,,,SSE,31.0,SW,E,6.0,13.0,67.0,74.0,1002.8,1004.4,7.0,8.0,22.4,22.6,No,No,0.849999998785713,0.18555099322895163
2012-05-10,BadgerysCreek,7.3,27.1,0.0,,,E,20.0,ESE,NE,2.0,4.0,85.0,44.0,1022.0,1019.0,,,14.8,25.6,No,No,0.1999999997142855,0.4204860725744604
2012-03-06,PearceRAAF,18.0,39.2,0.0,,10.6,E,48.0,NE,NNW,20.0,9.0,13.0,8.0,1013.9,1009.1,0.0,1.0,31.2,38.1,No,No,0.0,0.9999999999916768
2016-10-07,Sale,15.5,27.3,0.0,,,WNW,72.0,NW,WNW,20.0,37.0,38.0,37.0,1010.9,1010.1,,,22.8,24.3,No,No,0.241071598985862,0.4766119187619857
2016-08-26,Walpole,8.4,19.8,0.0,,,NNE,46.0,N,N,22.0,11.0,55.0,47.0,1009.5,1003.1,,,14.4,19.0,No,Yes,0.357142883843511,0.2905892797667523
2011-10-26,Launceston,3.6,18.2,0.0,,,NW,28.0,ESE,NNW,6.0,19.0,66.0,57.0,1025.7,1024.2,,,11.7,17.3,No,No,0.8336466980818518,0.2165686383291263
2008-08-11,Perth,7.6,20.4,0.0,4.2,9.0,E,30.0,E,SE,9.0,9.0,57.0,33.0,1026.9,1023.5,6.0,1.0,11.0,20.3,No,No,0.0,0.3786483187184108
2010-06-13,MountGambier,4.8,13.5,0.0,0.6,1.0,NNW,15.0,ESE,,2.0,0.0,91.0,59.0,1033.7,1032.5,7.0,7.0,8.1,12.4,No,No,0.9499999986428557,0.15300743535551262
2016-04-17,Adelaide,11.9,21.6,0.0,,,SSE,26.0,ESE,E,9.0,7.0,49.0,30.0,1025.7,1020.6,,,15.2,21.2,No,No,0.0,0.41893241593259123
2009-06-22,Sale,3.1,18.3,0.0,0.8,8.0,E,26.0,NW,E,7.0,19.0,95.0,60.0,1019.8,1017.9,3.0,3.0,6.9,16.7,No,No,0.9718046035285175,0.20253024081509374
2016-11-02,PerthAirport,11.5,31.0,0.0,7.4,12.5,E,44.0,E,WSW,19.0,22.0,41.0,24.0,1014.6,1010.5,0.0,1.0,21.4,29.8,No,No,0.1641338349850072,0.6530906669571654
2012-07-13,Dartmoor,4.3,15.7,0.2,0.8,0.0,N,24.0,,N,0.0,7.0,100.0,83.0,1009.0,1006.5,,,5.3,13.2,No,Yes,0.9999999985714271,0.07349350793413471
2017-03-05,Portland,16.8,20.7,0.0,,,SE,43.0,SE,SE,24.0,24.0,82.0,72.0,1017.4,1018.0,8.0,8.0,17.3,18.0,No,No,0.746631053044951,0.16024858506136733
2014-10-28,Adelaide,13.6,21.7,0.2,5.0,,NW,41.0,W,SW,15.0,20.0,79.0,47.0,1019.7,1019.4,,,15.6,20.4,No,No,0.3537947962067057,0.31852735545179334
2011-07-03,Wollongong,11.2,19.2,0.0,,,NNW,44.0,NW,N,15.0,22.0,63.0,55.0,1021.3,1016.7,,,15.2,18.7,No,No,0.6272428175770528,0.23915214737343948
2012-09-13,PerthAirport,3.5,22.1,0.0,4.2,11.0,E,54.0,E,E,24.0,11.0,54.0,32.0,1030.5,1025.3,0.0,1.0,13.8,21.2,No,No,0.0,0.4163799800209489
2013-03-14,WaggaWagga,17.6,29.6,0.0,9.8,11.4,W,33.0,W,WSW,17.0,20.0,57.0,21.0,1011.1,1009.5,1.0,1.0,19.3,29.0,No,No,0.09407670004403124,0.6482077460827194
2015-11-01,CoffsHarbour,18.0,27.0,0.2,,,NE,61.0,NNW,NNE,22.0,39.0,59.0,67.0,1018.7,1014.3,8.0,2.0,22.1,23.1,No,No,0.6629467565862086,0.24664299189673747
2017-06-02,NorfolkIsland,16.6,20.1,2.2,,,SW,63.0,SW,SW,37.0,39.0,59.0,58.0,1014.2,1012.1,8.0,8.0,18.3,18.7,Yes,No,0.5223217040527598,0.2336588613896876
2017-01-22,Cairns,24.7,32.5,0.0,,,NE,31.0,SE,NE,13.0,19.0,71.0,70.0,1009.6,1007.8,,8.0,30.3,31.3,No,No,0.9477343683678999,0.26994784152477563
2014-11-23,Tuggeranong,12.9,37.8,0.0,,,WNW,46.0,WNW,WNW,4.0,20.0,38.0,17.0,1012.6,1009.2,,,24.2,37.1,No,No,0.09407670004403124,0.8698812562351301
2010-07-04,Watsonia,7.1,12.4,0.4,1.0,0.0,NW,17.0,,NW,0.0,7.0,99.0,62.0,1031.9,1028.7,7.0,7.0,9.2,11.7,No,No,0.9999999985714271,0.13017423149375615
2010-10-05,PearceRAAF,5.7,23.2,0.0,,10.2,SW,52.0,S,SW,22.0,37.0,59.0,42.0,1023.0,1020.7,4.0,3.0,17.2,22.3,No,No,0.30357162233406165,0.3727666185741917
2016-09-27,Mildura,5.2,18.0,0.0,5.0,9.4,WNW,30.0,W,W,13.0,17.0,74.0,41.0,1016.7,1014.1,1.0,1.0,12.0,17.6,No,No,0.04999999992857134,0.29408500721095804
2015-09-11,Woomera,9.8,27.3,0.0,,,N,46.0,NNE,NNW,31.0,24.0,38.0,12.0,1026.6,1022.5,,,18.6,27.0,No,No,0.21832898758405245,0.665963821989796
2014-06-09,SydneyAirport,8.0,18.5,1.6,2.6,5.1,S,54.0,NW,SW,11.0,24.0,60.0,83.0,1028.2,1027.2,1.0,7.0,12.7,15.9,Yes,Yes,0.8787065694101759,0.08669958939002302
2013-08-06,MountGinini,-0.9,0.5,6.6,,,W,74.0,W,WSW,31.0,28.0,96.0,96.0,,,,,0.4,-1.3,Yes,Yes,0.866071832467857,0.0
2014-04-04,Tuggeranong,12.6,15.1,48.6,,,S,28.0,S,SSE,13.0,9.0,99.0,96.0,1020.6,1017.9,,,12.6,14.6,Yes,Yes,0.9999999985714271,0.0162024192652075
2012-07-21,Walpole,8.0,20.1,0.2,,,N,20.0,N,WNW,9.0,4.0,74.0,43.0,1028.4,1024.2,,,13.2,19.5,No,No,0.14999999978571407,0.3173066252331818
2015-08-09,Sydney,6.2,17.6,0.0,1.8,9.5,W,30.0,W,E,20.0,13.0,68.0,56.0,1024.8,1019.6,1.0,1.0,9.1,16.3,No,No,0.7999999988571418,0.21429364110353208
2016-10-21,Tuggeranong,2.5,21.5,0.0,,,N,39.0,N,N,2.0,26.0,74.0,35.0,1017.9,1012.8,,,12.0,20.5,No,Yes,0.241071598985862,0.38716568638008675
2014-05-21,Newcastle,12.7,23.5,0.0,,,,,NW,SW,2.0,4.0,70.0,65.0,,,1.0,3.0,18.0,21.8,No,No,0.7480858940315654,0.22763844190244442
2008-08-05,Perth,2.2,20.3,0.0,2.6,10.0,NE,20.0,ENE,SE,7.0,7.0,84.0,40.0,1034.0,1030.5,1.0,1.0,9.6,18.9,No,No,0.0,0.3373654422344575
2014-03-19,Nhil,7.1,26.0,0.0,,,SSE,28.0,SSE,SSE,9.0,9.0,91.0,27.0,1027.5,1025.0,,,10.7,23.9,No,No,0.0,0.5260237487471476
2010-10-29,Launceston,8.9,22.7,0.0,,,N,43.0,NW,NNW,2.0,20.0,63.0,53.0,1018.4,1013.9,,,17.2,21.0,No,No,0.635903227038982,0.29544445677259357
2014-01-04,Portland,11.6,18.1,1.4,8.6,10.3,W,61.0,WSW,W,35.0,31.0,69.0,63.0,1007.1,1008.5,8.0,6.0,15.1,17.7,Yes,No,0.7394071665471988,0.18524581067429877
2015-03-08,NorfolkIsland,19.8,25.2,0.0,5.2,8.5,SSE,28.0,ESE,ESE,9.0,17.0,76.0,74.0,1014.2,1013.3,6.0,7.0,23.1,23.3,No,No,0.849999998785713,0.1812229497266017
2013-09-19,PearceRAAF,11.5,20.8,0.8,,4.3,WNW,37.0,NNW,WNW,15.0,22.0,79.0,52.0,1015.2,1013.4,8.0,4.0,15.6,20.0,No,No,0.5589042138813094,0.27643990677830055
2015-05-02,Brisbane,16.6,24.9,182.6,1.6,9.5,SSW,19.0,WNW,WSW,6.0,7.0,71.0,58.0,1013.0,1010.0,1.0,1.0,19.8,24.4,Yes,No,0.44999999935714224,0.2895905004969792
2014-05-18,Mildura,13.3,22.9,0.0,3.8,1.2,N,22.0,NNE,WNW,11.0,9.0,64.0,45.0,1024.3,1022.1,7.0,7.0,16.5,22.2,No,No,0.2959771107778572,0.3488791477054526
2009-04-02,Witchcliffe,5.1,19.9,0.0,,,SSE,35.0,N,SSE,11.0,24.0,55.0,63.0,1026.3,1026.1,,,15.0,17.2,No,No,0.8787065694101756,0.20372322716510047
2014-01-07,MountGinini,3.3,16.2,0.0,,,E,37.0,ENE,NE,4.0,6.0,67.0,46.0,,,,,9.2,14.2,No,No,0.2999999995714281,0.24214848518275864
2017-01-05,Walpole,17.2,25.1,0.0,,,WSW,65.0,W,W,17.0,20.0,78.0,59.0,1004.9,1002.0,,,20.1,24.1,No,Yes,0.4995238563974604,0.2849572744399764
2016-03-09,Portland,16.2,20.9,0.0,3.4,1.6,W,35.0,SSW,SSE,6.0,17.0,90.0,86.0,1017.1,1017.9,7.0,8.0,18.8,18.5,No,No,0.9999999985714271,0.0806236821655702
2017-06-01,MelbourneAirport,6.6,12.8,0.0,1.0,0.0,SSW,24.0,WSW,SSW,9.0,13.0,85.0,56.0,1037.5,1036.0,7.0,7.0,9.4,12.3,No,No,0.7999999988571418,0.15569859061017893
2011-03-23,Wollongong,20.0,28.9,0.0,,,WNW,59.0,WSW,S,20.0,19.0,64.0,41.0,,,,6.0,23.8,28.3,No,No,0.07377821812519092,0.4725058262084742
2014-10-10,Cairns,20.2,30.6,0.0,9.2,11.3,ESE,39.0,SE,ESE,22.0,22.0,55.0,48.0,1015.9,1012.7,2.0,2.0,27.4,29.2,No,No,0.313070043011235,0.4409055598675986
2013-08-28,Melbourne,11.3,22.5,0.0,3.8,7.4,N,44.0,ENE,NNE,11.0,28.0,73.0,39.0,1019.4,1015.5,7.0,,13.9,21.4,No,No,0.241071598985862,0.3802297192288849
2012-05-12,MountGinini,-2.7,5.2,0.0,,,WSW,63.0,SSW,W,22.0,15.0,88.0,66.0,,,,,-1.5,4.1,No,No,0.9999999985714271,0.048496282321203274
2017-02-11,AliceSprings,23.8,41.2,0.0,,,SE,33.0,SW,SSE,13.0,13.0,37.0,18.0,1008.0,1003.6,,1.0,31.6,40.3,No,No,0.0,0.9367439795727159
2008-07-11,Perth,13.4,17.1,2.6,2.6,4.2,SW,54.0,SW,SW,26.0,13.0,63.0,77.0,1014.7,1015.2,4.0,7.0,15.4,14.8,Yes,Yes,0.9347827572385933,0.10856175785061123
2009-09-10,PearceRAAF,13.4,19.2,0.8,,2.2,WNW,85.0,NW,WNW,33.0,65.0,72.0,61.0,1004.8,1002.6,7.0,7.0,17.2,18.6,No,Yes,0.6460673729175739,0.2071912107407014
2010-05-16,Launceston,2.8,16.7,0.0,,,NNW,9.0,E,NNW,2.0,4.0,90.0,53.0,1022.0,1020.2,,,6.7,16.4,No,No,0.6499999990714276,0.21720674730703685
2013-05-24,CoffsHarbour,13.5,17.8,106.4,,,SW,70.0,WSW,SW,24.0,35.0,94.0,94.0,1008.7,1007.9,8.0,8.0,13.7,14.6,Yes,Yes,0.866071832467857,0.02907557429783812
2012-01-08,NorfolkIsland,17.8,22.7,3.0,8.8,11.9,S,37.0,S,SSW,20.0,28.0,70.0,59.0,1011.2,1010.3,2.0,2.0,21.5,22.2,Yes,No,0.542606741255203,0.25765730773284595
2014-04-21,Darwin,24.2,33.1,0.0,7.0,9.9,E,43.0,ESE,ENE,15.0,24.0,74.0,43.0,1010.6,1008.3,7.0,6.0,27.0,32.5,No,No,0.24233370422596232,0.5228886915948043
2015-10-05,MountGambier,8.7,32.4,0.0,4.0,11.4,NW,76.0,N,NNW,17.0,39.0,51.0,15.0,1017.3,1013.8,6.0,1.0,18.4,32.0,No,No,0.241071598985862,0.7635112640042986
2013-04-05,Ballarat,6.9,23.5,0.0,,,NNE,33.0,SSE,NNW,6.0,15.0,99.0,38.0,1029.3,1026.8,,4.0,11.9,22.3,No,No,0.0,0.4036732881999471
2013-05-09,Dartmoor,14.6,27.9,0.0,4.6,9.6,N,37.0,N,N,11.0,17.0,59.0,30.0,1026.6,1024.4,,,17.7,27.4,No,No,0.0,0.5412828764797917
2015-06-20,Penrith,6.1,14.9,0.0,,,SW,20.0,SW,SSE,11.0,9.0,63.0,48.0,,,,,10.6,14.6,No,No,0.3999999994285709,0.21440461657795132
2013-03-09,Cobar,19.4,31.7,0.0,9.4,,ENE,33.0,ENE,NNW,13.0,9.0,51.0,30.0,1018.1,1015.5,3.0,5.0,23.2,30.3,No,No,0.0,0.6150815669685793
2011-01-16,Canberra,15.2,32.3,0.0,5.8,11.5,NE,24.0,SSE,SW,2.0,11.0,63.0,30.0,1010.8,1006.0,0.0,2.0,22.7,31.0,No,No,0.0,0.6267339917825984
2011-11-27,Brisbane,20.9,33.9,3.2,7.2,12.6,NE,24.0,SSW,ENE,4.0,13.0,60.0,56.0,1012.3,1009.5,1.0,2.0,27.7,29.9,Yes,No,0.32978685156341303,0.41327266673721047
2015-10-27,Mildura,7.1,28.4,0.0,8.0,12.3,SSE,35.0,SSE,SE,17.0,13.0,57.0,29.0,1023.0,1019.5,0.0,1.0,13.2,26.5,No,No,0.0,0.5588724891752396
2013-11-07,Katherine,25.0,40.3,0.0,12.0,,E,30.0,NW,SW,17.0,11.0,62.0,26.0,1011.0,1005.1,3.0,4.0,29.8,38.8,No,No,0.0,0.8268227721604691
2014-08-10,PerthAirport,12.0,23.5,0.0,3.2,5.4,E,54.0,ENE,ENE,28.0,17.0,67.0,47.0,1027.3,1023.5,6.0,6.0,14.0,22.3,No,No,0.3888890447118175,0.34499500610077954
2014-02-03,Uluru,26.1,35.0,0.0,,,S,65.0,ESE,W,22.0,13.0,54.0,69.0,1003.6,1001.5,,,30.8,28.8,No,Yes,0.999998514447743,0.30046609699006377
2010-08-15,Williamtown,4.5,21.2,,,,W,80.0,NW,WNW,13.0,37.0,74.0,30.0,1007.9,1005.6,5.0,,12.2,20.3,,No,0.241071598985862,0.41116413272324515
2014-11-20,Sydney,18.8,31.1,0.0,6.8,10.6,ENE,41.0,NE,ENE,6.0,24.0,56.0,57.0,1014.3,1008.7,7.0,6.0,24.8,26.0,No,No,0.49883557354291846,0.3704638774799927
2012-10-14,Albury,4.7,21.0,0.0,,,SW,37.0,SE,NW,7.0,6.0,83.0,50.0,1025.7,1023.1,,,10.7,20.1,No,No,0.4999999992857136,0.29075574297838114
2013-05-29,Dartmoor,4.3,16.3,0.0,0.6,0.3,NNE,28.0,NNE,N,9.0,9.0,85.0,69.0,1022.5,1019.4,,,10.1,15.8,No,No,0.9999999985714272,0.13963489068799548
2009-04-20,Perth,14.9,27.3,0.0,4.6,10.7,SSW,24.0,SSW,SW,6.0,13.0,80.0,50.0,1013.9,1010.8,0.0,1.0,19.4,26.4,No,No,0.26056338659746514,0.3781489290835243
2010-09-13,MountGinini,0.5,7.9,1.8,,,,,WSW,W,30.0,17.0,77.0,44.0,,,,,1.7,7.4,Yes,,0.1999999997142855,0.12218399733557164
